precision,recall,f1-score,support
0.0,0.0,0.0,1.0
0.2,0.1,0.13333333333333333,10.0
0.8696690851176783,0.9227375140818626,0.8954176915368498,10652.0
0.5,0.4090909090909091,0.45,66.0
0.0,0.0,0.0,11.0
0.29411764705882354,0.20833333333333334,0.24390243902439024,24.0
0.5294117647058824,0.6923076923076923,0.6,26.0
0.7447777182645956,0.7761652246720625,0.7601476014760148,3583.0
0.6140776699029126,0.48841698841698844,0.5440860215053763,518.0
0.5902547065337763,0.6833333333333333,0.6333927510398099,1560.0
0.8322147651006712,0.5414847161572053,0.656084656084656,229.0
0.8823529411764706,0.4838709677419355,0.625,31.0
0.8333333333333334,0.45454545454545453,0.5882352941176471,22.0
0.8948261238337574,0.545783755819969,0.6780205655526992,1933.0
0.6818181818181818,0.5357142857142857,0.6,28.0
0.5977011494252874,0.45414847161572053,0.5161290322580645,229.0
0.8086984093431274,0.8086984093431274,0.8086984093431274,0.8086984093431274
0.5665346928919607,0.45599579042692195,0.4952343366205526,18923.0
0.8111236901774311,0.8086984093431274,0.8038990230558227,18923.0
