,Cell Junction,Cell Projection,Cell Surface,Cytoplasm,Endoplasmic Reticulum,Endosome,Golgi Apparatus,Lysosome,Membrane,Mitochondrion,Nucleus,Periplasm,Peroxisome,Plastid,Secreted,Vacuole,Virion
Cell Junction,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Projection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Surface,0,0,1,7,0,0,0,0,4,0,1,0,0,0,2,0,0
Cytoplasm,0,0,0,10491,0,0,0,0,60,0,163,0,0,0,46,0,0
Endoplasmic Reticulum,0,0,0,58,0,0,0,0,7,0,1,0,0,0,0,0,0
Endosome,0,0,0,6,0,0,0,0,1,0,1,0,0,0,1,0,0
Golgi Apparatus,0,0,0,13,0,0,0,0,1,0,2,0,0,0,1,0,0
Lysosome,0,0,0,12,0,0,0,0,10,0,0,0,0,0,1,0,0
Membrane,0,0,0,1302,0,0,0,0,2053,0,56,0,0,0,115,0,0
Mitochondrion,0,0,0,479,0,0,0,0,43,4,14,0,0,0,21,0,0
Nucleus,0,0,0,702,0,0,0,0,35,0,802,0,0,0,20,0,0
Periplasm,0,0,0,171,0,0,0,0,14,0,0,14,0,0,9,0,0
Peroxisome,0,0,0,32,0,0,0,0,3,0,1,0,0,0,1,0,0
Plastid,0,0,0,18,0,0,0,0,2,0,0,0,0,0,1,0,0
Secreted,0,0,0,521,0,0,0,0,145,0,26,0,0,0,1204,0,0
Vacuole,0,0,0,11,0,0,0,0,4,0,2,0,0,0,3,0,0
Virion,0,0,0,135,0,0,0,0,40,0,4,0,0,0,9,0,14
